seasonal,trend,remainder,Date
1037.5529960109286,36183.809168872824,229.8461684495851,2018-01-17
921.3356996802454,35153.56485396503,2304.849446354725,2018-01-18
639.6503363295258,34123.32053905724,679.7791246132329,2018-01-19
-1678.9338712806623,33039.486450071985,-756.1359121246533,2018-01-20
-2330.046098941667,31955.652361086723,-517.4812621450546,2018-01-21
313.5175775448375,31568.05055901843,-2009.5264698965984,2018-01-22
1096.9234094816782,31180.448756950136,-2503.5388330984824,2018-01-23
1037.5529960109286,31291.24353639684,-257.33819907443467,2018-01-24
921.3356996802454,31402.038315843543,1979.292651142874,2018-01-25
639.6503363295258,31688.48127809584,2026.8267189079706,2018-01-26
-1678.9338712806623,31974.924240348137,-452.1987024008049,2018-01-27
-2330.046098941667,32269.68293570182,-2583.0951700934856,2018-01-28
313.5175775448375,32564.441631055503,-1434.1258752670074,2018-01-29
1096.9234094816782,33125.1700364134,673.4482207715846,2018-01-30
1037.5529960109286,33685.89844177129,2456.6735622177803,2018-01-31
921.3356996802454,34258.113514665485,-1563.9908810123961,2018-02-01
639.6503363295258,34830.32858755968,-142.85392388920445,2018-02-02
-1678.9338712806623,34872.24823812631,2312.185633154353,2018-02-03
-2330.046098941667,34914.167888692944,221.54487691538816,2018-02-04
313.5175775448375,34826.127149236665,-934.8530601148377,2018-02-05
1096.9234094816782,34738.086409780386,-51.17648592872865,2018-02-06
1037.5529960109286,34253.42615794611,533.770846042964,2018-02-07
921.3356996802454,33768.76590611183,468.02339420792123,2018-02-08
639.6503363295258,33119.148345910624,1701.3263177598492,2018-02-09
-1678.9338712806623,32469.530785709416,-293.8885810954198,2018-02-10
-2330.046098941667,31733.848281689345,-1483.885516081009,2018-02-11
313.5175775448375,30998.165777669277,-1166.8916885474464,2018-02-12
1096.9234094816782,30498.33819547046,1443.1967283811973,2018-02-13
1037.5529960109286,29998.51061327164,403.8530573841017,2018-02-14
921.3356996802454,30028.266753333548,-1811.2274530137947,2018-02-15
639.6503363295258,30058.022893395457,-2318.7148963916516,2018-02-16
-1678.9338712806623,29809.591150746077,2081.051053867919,2018-02-17
-2330.046098941667,29561.159408096697,1660.9283575116388,2018-02-18
313.5175775448375,29357.911951299793,1776.32047115537,2018-02-19
1096.9234094816782,29154.664494502886,-1763.7962373178962,2018-02-20
1037.5529960109286,28920.907143849632,-2385.960139860559,2018-02-21
921.3356996802454,28687.149793196375,-749.2771595432896,2018-02-22
639.6503363295258,28801.181106444656,1453.5018905591496,2018-02-23
-1678.9338712806623,28915.212419692936,300.72145158772764,2018-02-24
-2330.046098941667,28919.864761571465,656.2230040368704,2018-02-25
313.5175775448375,28924.517103449998,168.79865233849705,2018-02-26
1096.9234094816782,28908.41622472007,-311.2979675350798,2018-02-27
1037.5529960109286,28892.31534599014,-1014.7016753343996,2018-02-28
921.3356996802454,29143.615744026312,-1344.743110373227,2018-03-01
639.6503363295258,29394.91614206248,823.5168549413247,2018-03-02
-1678.9338712806623,29826.26375398066,289.46178396667165,2018-03-03
-2330.046098941667,30257.611365898843,23.01806637615664,2018-03-04
313.5175775448375,30567.548193702118,570.3925620863774,2018-03-05
1096.9234094816782,30877.48502150539,-378.11676432039894,2018-03-06
1037.5529960109286,31049.320113670416,170.4602236519895,2018-03-07
921.3356996802454,31221.15520583544,-208.28257218235376,2018-03-08
639.6503363295258,31355.93029388853,591.2527031152749,2018-03-09
-1678.9338712806623,31490.705381941625,215.6868226723709,2018-03-10
-2330.046098941667,31587.06757504043,-919.282345663978,2018-03-11
313.5175775448375,31683.429768139235,492.2193209825964,2018-03-12
1096.9234094816782,31681.733978277844,51.25927890714229,2018-03-13
1037.5529960109286,31680.038188416456,681.4921489059525,2018-03-14
921.3356996802454,31521.68663512681,-105.81400147372551,2018-03-15
639.6503363295258,31363.335081837165,-60.81875150002452,2018-03-16
-1678.9338712806623,31296.73970082859,523.0275037854044,2018-03-17
-2330.046098941667,31230.14431982002,-881.6815542116856,2018-03-18
313.5175775448375,31201.32719264574,-1490.886436857243,2018-03-19
1096.9234094816782,31172.51006547145,1065.2331917135343,2018-03-20
