Date,Actual,ARIMA_Fitted,ETS_Fitted
2017-12-04,31196.833333333332,29636.338171260933,30461.40116497231
2017-12-05,29750.666666666668,31579.267737507453,31907.976708986316
2017-12-06,30350.166666666668,28799.567925342366,29816.327734401573
2017-12-07,31645.291666666668,31051.479138487648,30176.09931150385
2017-12-08,32779.291666666664,31165.52947491667,31385.442839424457
2017-12-09,32562.625,32189.280097740342,30763.39408985286
2017-12-10,31846.25,31661.150167955413,31913.81229767172
2017-12-11,32959.041666666664,32682.184883018934,34167.77336766571
2017-12-12,33249.791666666664,32301.932945246197,33670.09029662697
2017-12-13,37373.875,32805.32732654443,33315.54807725266
2017-12-14,35657.458333333336,37740.348520916705,37199.54734462789
2017-12-15,37612.25,33374.84385031368,35397.90448350381
2017-12-16,34011.958333333336,37838.58071664966,35596.31064042686
2017-12-17,31386.75,31193.391867868217,33363.298375215716
2017-12-18,31808.583333333332,32653.465466695463,33708.35072616015
2017-12-19,30451.333333333332,31292.58871533431,32519.7804489899
2017-12-20,31291.833333333332,31380.909174722146,30517.70442005286
2017-12-21,33088.208333333336,31667.89962874989,31117.274049544736
2017-12-22,32009.333333333332,34112.658897380985,32828.678218065535
2017-12-23,28380.25,30485.543659241146,29993.317844432597
2017-12-24,28308.791666666668,28129.384344790305,27731.553599499468
2017-12-25,29923.208333333332,29681.24262635504,30630.143522401348
2017-12-26,34361.916666666664,30023.66452155229,30634.26869518533
2017-12-27,37027.875,36323.80197843924,34427.990479196975
2017-12-28,39963.208333333336,35779.04168195711,36853.25229845664
2017-12-29,39392.458333333336,39869.49218746325,39703.283990402066
2017-12-30,37419.041666666664,35617.67783124341,37376.31216505823
2017-12-31,39016,36000.54622194643,36770.39854642938
2018-01-01,40191.041666666664,38380.234536260774,41337.055471308755
2018-01-02,41627.333333333336,38923.82817451875,40902.590817474724
2018-01-03,40852.75,40965.74494634068,41693.59575072683
2018-01-04,41065,39724.07553237418,40678.5241233306
2018-01-05,44197.791666666664,39461.76439875924,40805.00625746152
2018-01-06,43565.75,41880.22771163421,42181.30886271552
2018-01-07,42159.708333333336,41209.080050508426,42917.19297512756
2018-01-08,40300.666666666664,40824.02525331529,44480.72542067821
2018-01-09,35337.375,39808.34520540433,41012.708226366514
2018-01-10,35223.875,34045.254433316615,35404.1234208335
2018-01-11,31735.208333333332,36844.02123299871,35049.705824787074
2018-01-12,29211.041666666668,31240.946877645936,31475.88787076796
2018-01-13,30532.666666666668,30169.663388087843,27194.925878292026
2018-01-14,36703.25,32210.294376386977,29883.698620016203
2018-01-15,39257.75,37585.402668007024,39023.16265269929
2018-01-16,36168.333333333336,37688.53217716864,39969.1980981596
2018-01-17,37451.208333333336,35029.777786283215,36235.44445092768
2018-01-18,38379.75,37054.05541488983,37276.58462008744
2018-01-19,35442.75,37407.2261829607,38120.09096438141
2018-01-20,30604.416666666668,34358.371499087625,33427.23745098812
2018-01-21,29108.125,31552.544203330734,29956.416686556433
2018-01-22,29872.041666666668,30150.35844054654,31428.147707890512
